row_id,gemini-2.0-flash-thinking vs gpt4o,gpt4o vs gemini-2.0-flash-thinking,gemini-2.0-flash-thinking vs o1,o1 vs gemini-2.0-flash-thinking,gemini-2.0-flash-thinking vs llama-3.3,llama-3.3 vs gemini-2.0-flash-thinking,gemini-2.0-flash-thinking vs gpt-4o-mini,gpt-4o-mini vs gemini-2.0-flash-thinking,gemini-2.0-flash-thinking vs gpt-4.5-preview,gpt-4.5-preview vs gemini-2.0-flash-thinking,gemini-2.0-flash-thinking vs deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b vs gemini-2.0-flash-thinking,gpt4o vs o1,o1 vs gpt4o,gpt4o vs llama-3.3,llama-3.3 vs gpt4o,gpt4o vs gpt-4o-mini,gpt-4o-mini vs gpt4o,gpt4o vs gpt-4.5-preview,gpt-4.5-preview vs gpt4o,gpt4o vs deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b vs gpt4o,o1 vs llama-3.3,llama-3.3 vs o1,o1 vs gpt-4o-mini,gpt-4o-mini vs o1,o1 vs gpt-4.5-preview,gpt-4.5-preview vs o1,o1 vs deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b vs o1,llama-3.3 vs gpt-4o-mini,gpt-4o-mini vs llama-3.3,llama-3.3 vs gpt-4.5-preview,gpt-4.5-preview vs llama-3.3,llama-3.3 vs deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b vs llama-3.3,gpt-4o-mini vs gpt-4.5-preview,gpt-4.5-preview vs gpt-4o-mini,gpt-4o-mini vs deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b vs gpt-4o-mini,gpt-4.5-preview vs deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b vs gpt-4.5-preview,gpt-4o-mini-finetuned vs gemini-2.0-flash-thinking,gemini-2.0-flash-thinking vs gpt-4o-mini-finetuned,gpt-4o-mini-finetuned vs gpt4o,gpt4o vs gpt-4o-mini-finetuned,gpt-4o-mini-finetuned vs o1,o1 vs gpt-4o-mini-finetuned,gpt-4o-mini-finetuned vs llama-3.3,llama-3.3 vs gpt-4o-mini-finetuned,gpt-4o-mini-finetuned vs gpt-4o-mini,gpt-4o-mini vs gpt-4o-mini-finetuned,gpt-4o-mini-finetuned vs gpt-4.5-preview,gpt-4.5-preview vs gpt-4o-mini-finetuned,gpt-4o-mini-finetuned vs deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b vs gpt-4o-mini-finetuned
0,gpt4o,gpt4o,o1,o1,llama-3.3,llama-3.3,gpt-4o-mini,gpt-4o-mini,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,o1,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,o1,o1,o1,o1,gpt-4.5-preview,o1,deepseek-r1-distill-llama-70b,o1,llama-3.3,llama-3.3,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,gpt-4.5-preview,gpt-4.5-preview,gpt-4o-mini-finetuned,gpt-4o-mini-finetuned,gpt4o,gpt-4o-mini-finetuned,o1,o1,llama-3.3,gpt-4o-mini-finetuned,gpt-4o-mini,gpt-4o-mini-finetuned,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b
1,gpt4o,gpt4o,o1,o1,gemini-2.0-flash-thinking,llama-3.3,gpt-4o-mini,gpt-4o-mini,gpt-4.5-preview,gpt-4.5-preview,gemini-2.0-flash-thinking,gemini-2.0-flash-thinking,o1,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt-4.5-preview,gpt-4.5-preview,gpt4o,gpt4o,o1,o1,o1,o1,gpt-4.5-preview,o1,o1,o1,gpt-4o-mini,llama-3.3,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,llama-3.3,gpt-4.5-preview,gpt-4.5-preview,gpt-4o-mini,gpt-4o-mini,gpt-4.5-preview,gpt-4.5-preview,gemini-2.0-flash-thinking,gpt-4o-mini-finetuned,gpt4o,gpt4o,o1,o1,llama-3.3,gpt-4o-mini-finetuned,gpt-4o-mini,gpt-4o-mini-finetuned,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,gpt-4o-mini-finetuned
2,gpt4o,gpt4o,o1,o1,llama-3.3,llama-3.3,gpt-4o-mini,gpt-4o-mini,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,gemini-2.0-flash-thinking,o1,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt-4.5-preview,gpt-4.5-preview,gpt4o,gpt4o,o1,o1,o1,o1,gpt-4.5-preview,o1,o1,o1,gpt-4o-mini,llama-3.3,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,llama-3.3,gpt-4.5-preview,gpt-4.5-preview,gpt-4o-mini,gpt-4o-mini,gpt-4.5-preview,gpt-4.5-preview,gemini-2.0-flash-thinking,gpt-4o-mini-finetuned,gpt4o,gpt4o,o1,o1,llama-3.3,gpt-4o-mini-finetuned,gpt-4o-mini,gpt-4o-mini-finetuned,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,gpt-4o-mini-finetuned
3,gpt4o,gpt4o,o1,o1,llama-3.3,llama-3.3,gpt-4o-mini,gemini-2.0-flash-thinking,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,o1,o1,gpt4o,gpt4o,gpt4o,gpt4o,gpt-4.5-preview,gpt4o,gpt4o,gpt4o,o1,o1,o1,o1,gpt-4.5-preview,o1,deepseek-r1-distill-llama-70b,o1,gpt-4o-mini,llama-3.3,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,gpt-4.5-preview,gemini-2.0-flash-thinking,gpt-4o-mini-finetuned,gpt4o,gpt4o,o1,o1,llama-3.3,gpt-4o-mini-finetuned,gpt-4o-mini,gpt-4o-mini-finetuned,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b
4,gpt4o,gemini-2.0-flash-thinking,o1,o1,llama-3.3,gemini-2.0-flash-thinking,gpt-4o-mini,gemini-2.0-flash-thinking,gpt-4.5-preview,gpt-4.5-preview,gemini-2.0-flash-thinking,gemini-2.0-flash-thinking,o1,gpt4o,llama-3.3,gpt4o,gpt-4o-mini,gpt4o,gpt-4.5-preview,gpt-4.5-preview,gpt4o,gpt4o,o1,o1,gpt-4o-mini,o1,gpt-4.5-preview,o1,o1,o1,gpt-4o-mini,llama-3.3,gpt-4.5-preview,llama-3.3,llama-3.3,llama-3.3,gpt-4.5-preview,gpt-4.5-preview,gpt-4o-mini,gpt-4o-mini,gpt-4.5-preview,gpt-4.5-preview,gemini-2.0-flash-thinking,gpt-4o-mini-finetuned,gpt4o,gpt4o,o1,o1,llama-3.3,gpt-4o-mini-finetuned,gpt-4o-mini,gpt-4o-mini-finetuned,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,gpt-4o-mini-finetuned
5,gpt4o,gemini-2.0-flash-thinking,o1,o1,llama-3.3,gemini-2.0-flash-thinking,gpt-4o-mini,gemini-2.0-flash-thinking,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,o1,o1,llama-3.3,gpt4o,gpt-4o-mini,gpt4o,gpt-4.5-preview,gpt4o,deepseek-r1-distill-llama-70b,gpt4o,o1,o1,o1,o1,o1,o1,o1,o1,gpt-4o-mini,llama-3.3,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,llama-3.3,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,gpt-4o-mini,deepseek-r1-distill-llama-70b,gpt-4.5-preview,gpt-4o-mini-finetuned,gpt-4o-mini-finetuned,gpt-4o-mini-finetuned,gpt-4o-mini-finetuned,o1,gpt-4o-mini-finetuned,llama-3.3,gpt-4o-mini-finetuned,gpt-4o-mini-finetuned,gpt-4o-mini-finetuned,gpt-4.5-preview,gpt-4o-mini-finetuned,gpt-4o-mini-finetuned,gpt-4o-mini-finetuned
6,gpt4o,gpt4o,o1,gemini-2.0-flash-thinking,llama-3.3,gemini-2.0-flash-thinking,gemini-2.0-flash-thinking,gemini-2.0-flash-thinking,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,gemini-2.0-flash-thinking,o1,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt-4.5-preview,gpt-4.5-preview,gpt4o,gpt4o,llama-3.3,o1,o1,o1,gpt-4.5-preview,gpt-4.5-preview,o1,o1,gpt-4o-mini,llama-3.3,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,llama-3.3,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,gpt-4o-mini,gpt-4.5-preview,gpt-4.5-preview,gemini-2.0-flash-thinking,gpt-4o-mini-finetuned,gpt4o,gpt4o,o1,o1,llama-3.3,gpt-4o-mini-finetuned,gpt-4o-mini,gpt-4o-mini-finetuned,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,gpt-4o-mini-finetuned
7,gpt4o,gpt4o,o1,o1,llama-3.3,gemini-2.0-flash-thinking,gemini-2.0-flash-thinking,gemini-2.0-flash-thinking,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,o1,o1,gpt4o,gpt4o,gpt4o,gpt4o,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,o1,o1,o1,o1,o1,o1,deepseek-r1-distill-llama-70b,o1,gpt-4o-mini,llama-3.3,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b,gemini-2.0-flash-thinking,gemini-2.0-flash-thinking,gpt4o,gpt4o,o1,o1,llama-3.3,llama-3.3,gpt-4o-mini,gpt-4o-mini-finetuned,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b
8,gpt4o,gpt4o,o1,o1,llama-3.3,gemini-2.0-flash-thinking,gpt-4o-mini,gemini-2.0-flash-thinking,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,gemini-2.0-flash-thinking,o1,gpt4o,gpt4o,gpt4o,gpt4o,gpt4o,gpt-4.5-preview,gpt-4.5-preview,gpt4o,gpt4o,o1,o1,o1,o1,gpt-4.5-preview,o1,o1,o1,gpt-4o-mini,llama-3.3,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,llama-3.3,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,gpt-4o-mini,gpt-4.5-preview,gpt-4.5-preview,gemini-2.0-flash-thinking,gpt-4o-mini-finetuned,gpt4o,gpt-4o-mini-finetuned,o1,gpt-4o-mini-finetuned,llama-3.3,gpt-4o-mini-finetuned,gpt-4o-mini,gpt-4o-mini-finetuned,gpt-4.5-preview,gpt-4.5-preview,deepseek-r1-distill-llama-70b,gpt-4o-mini-finetuned
9,gpt4o,gemini-2.0-flash-thinking,o1,gemini-2.0-flash-thinking,llama-3.3,llama-3.3,gpt-4o-mini,gemini-2.0-flash-thinking,gpt-4.5-preview,gemini-2.0-flash-thinking,deepseek-r1-distill-llama-70b,deepseek-r1-distill-llama-70b ,o1,gpt4o,llama-3.3,gpt4o,gpt-4o-mini,gpt4o,gpt-4.5-preview,gpt4o,gpt4o,gpt4o,llama-3.3,o1,gpt-4o-mini,o1,gpt-4.5-preview,o1,o1,o1,gpt-4o-mini,llama-3.3,gpt-4.5-preview,llama-3.3,llama-3.3,llama-3.3,gpt-4.5-preview,gpt-4o-mini,gpt-4o-mini,gpt-4o-mini,gpt-4.5-preview,gpt-4.5-preview,gemini-2.0-flash-thinking,gpt-4o-mini-finetuned,gpt4o,gpt-4o-mini-finetuned,o1,gpt-4o-mini-finetuned,llama-3.3,gpt-4o-mini-finetuned,gpt-4o-mini-finetuned,gpt-4o-mini-finetuned,gpt-4.5-preview,gpt-4o-mini-finetuned,deepseek-r1-distill-llama-70b,gpt-4o-mini-finetuned
